,ds,yhat,yhat_lower,yhat_upper,y,cutoff
90,2019-04-25,1014.0872071063657,722.9570560708651,1272.3064080391537,1011,2019-01-24
91,2019-04-26,1057.018666065285,778.397044002244,1344.7180807451682,1065,2019-01-24
92,2019-04-27,707.6568717907724,444.61354085840856,979.9167598479306,848,2019-01-24
93,2019-04-28,592.1011738399097,320.75845340500064,868.235544283009,881,2019-01-24
94,2019-04-29,1070.8325809274654,799.1235107314028,1348.0659528951253,1222,2019-01-24
95,2019-04-30,1085.7996327842545,833.6657004654522,1364.5117002877046,1141,2019-01-24
96,2019-05-01,1032.4971154525317,765.2166007019634,1301.620861835775,1166,2019-01-24
97,2019-05-02,967.8877167642823,677.1137460655908,1241.6048516463816,1288,2019-01-24
98,2019-05-03,1017.9891082997435,739.9606591932915,1288.427822895875,1361,2019-01-24
99,2019-05-04,677.4665536213884,412.1884677002183,955.8213524063146,1030,2019-01-24
100,2019-05-05,572.2138446846734,308.9456142823447,842.3944450014847,935,2019-01-24
101,2019-05-06,1062.46384963024,800.2677090031015,1326.922558512495,1392,2019-01-24
102,2019-05-07,1089.8814450285713,818.0602511791416,1351.279901611281,1385,2019-01-24
103,2019-05-08,1049.6502798007516,774.8569423153476,1305.527847382294,1290,2019-01-24
104,2019-05-09,998.4032308516952,714.2471066444915,1256.6588951159765,1194,2019-01-24
105,2019-05-10,1061.8187794846908,793.0802518993052,1319.1343669653306,1549,2019-01-24
106,2019-05-11,734.2231382572984,454.04859829081647,988.2705199407528,1117,2019-01-24
107,2019-05-12,641.1806551240247,360.6414176876335,902.2700574890748,1046,2019-01-24
108,2019-05-13,1142.6135061455066,881.4969297946914,1418.5592108258377,1465,2019-01-24
109,2019-05-14,1179.9031889732694,893.9082188712536,1458.2113102258793,1500,2019-01-24
110,2019-05-15,1147.9850221163965,895.7046968792926,1425.351740913351,1411,2019-01-24
111,2019-05-16,1103.2852933993254,821.6830669155338,1387.7263607394764,1336,2019-01-24
112,2019-05-17,1171.3231018518834,907.9833647148718,1433.667498843999,1394,2019-01-24
113,2019-05-18,846.3165748392067,566.7235649654773,1114.6050329787984,1163,2019-01-24
114,2019-05-19,753.7758805042541,477.78477953407094,1011.3138402138097,937,2019-01-24
115,2019-05-20,1253.623983955954,990.5498241113921,1532.4000723986317,1635,2019-01-24
116,2019-05-21,1287.2976420139132,1024.4868564217813,1545.1390186058009,1470,2019-01-24
117,2019-05-22,1249.8398697613661,971.9467320813426,1532.4113907684791,1342,2019-01-24
118,2019-05-23,1197.8335950314251,931.0508834424725,1470.1865329589546,1971,2019-01-24
119,2019-05-24,1256.9986597687505,973.6875398107137,1532.1765687776651,2090,2019-01-24
120,2019-05-25,921.7920030801239,645.6434195231558,1190.3772341738695,1488,2019-01-24
121,2019-05-26,817.9936325241023,549.7015187491592,1091.230948259157,1321,2019-01-24
122,2019-05-27,786.1771293916509,519.1315362190951,1045.2745288278477,2000,2019-01-24
123,2019-05-28,1327.0143362738313,1080.3994872947212,1587.5340002842656,2475,2019-01-24
124,2019-05-29,1276.9349551509395,1004.1417616550352,1554.1318499891672,2321,2019-01-24
125,2019-05-30,1212.4756186956472,951.9674673430621,1487.146517556079,1845,2019-01-24
126,2019-05-31,1259.6562578865537,985.6417465520658,1532.459356954726,1929,2019-01-24
127,2019-06-01,913.2146012843557,635.9171533295334,1181.9477877143213,1236,2019-01-24
128,2019-06-02,799.1847246647349,534.0961567572047,1065.817053695463,1023,2019-01-24
129,2019-06-03,1278.0034382063345,1028.5061550825897,1553.4052469874168,1705,2019-01-24
130,2019-06-04,1291.5974205166658,1036.2806403269904,1548.4034076788441,1771,2019-01-24
131,2019-06-05,1235.4627276618787,973.7092974119821,1519.5189302717665,1689,2019-01-24
132,2019-06-06,1166.5867570773182,895.101083442476,1433.0033144563008,1609,2019-01-24
133,2019-06-07,1211.035147486893,907.2319691895696,1475.6280649896846,1821,2019-01-24
134,2019-06-08,863.5437210188567,610.6936610441696,1142.9467688487373,1285,2019-01-24
135,2019-06-09,750.0982871113968,475.19175827220283,1021.3060064017383,1047,2019-01-24
136,2019-06-10,1231.043619788548,977.372917134243,1496.754967568577,1894,2019-01-24
137,2019-06-11,1248.1744195285771,959.733297407891,1496.834622930735,1758,2019-01-24
138,2019-06-12,1196.8197538172988,911.8315654450226,1458.6140171943362,1802,2019-01-24
139,2019-06-13,1133.7708907269823,859.2177673466155,1400.9161406656663,1703,2019-01-24
140,2019-06-14,1184.874814824779,910.3404991687839,1454.782403591432,1822,2019-01-24
141,2019-06-15,844.6333197304172,574.8237140758508,1129.3192083900158,1239,2019-01-24
142,2019-06-16,738.7902715570823,478.1756197053835,1015.341525990331,1351,2019-01-24
143,2019-06-17,1227.4481230395668,961.1673398863259,1484.8609589985629,1789,2019-01-24
144,2019-06-18,1252.166258448494,971.5125173827166,1489.7281379120295,1832,2019-01-24
145,2019-06-19,1208.052440105024,950.2897288407406,1489.5890874012175,1836,2019-01-24
146,2019-06-20,1151.6970620048164,889.8925455262261,1404.2359500325492,1698,2019-01-24
147,2019-06-21,1208.7723118974,922.2626576469487,1474.9017749964646,1665,2019-01-24
148,2019-06-22,873.6359745255365,615.6077545620453,1134.3674304572041,1141,2019-01-24
149,2019-06-23,771.9223397545088,488.3249670498461,1024.0537387939717,1054,2019-01-24
150,2019-06-24,1263.6611997004052,997.3643333161822,1520.7321957454249,1716,2019-01-24
151,2019-06-25,1290.3774567152743,1030.0363274646213,1559.1096438034754,1684,2019-01-24
